Speed,Torque,Efficiency
535.714,32.7273,0.92
1651.79,32.7273,0.94
2767.86,32.7273,0.95
3883.93,32.7273,0.95
5000,33.8182,0.95
6116.07,33.8182,0.94
7232.14,32.7273,0.94
8348.21,32.7273,0.94
9464.29,33.8182,0.94
535.714,88.3636,0.93
1674.11,88.3636,0.95
2767.86,88.3636,0.96
3883.93,87.2727,0.965
5000,87.2727,0.965
6116.07,87.2727,0.965
535.714,141.818,0.91
1651.79,141.818,0.92
2767.86,142.909,0.95
3883.93,141.818,0.96
535.714,196.364,0.87
1651.79,197.455,0.93
2767.86,196.364,0.94
535.714,252,0.84
1651.79,250.909,0.93
2767.86,252,0.94
