Nissan Leaf Electric Motor Speed vs Torque ,,
Motor Speed (Rpm),Motor Maximum Torque (Nm),Motor Continuous Torque (Nm)
522.523,275.641,150.3346014
1423.42,275.641,150.3346014
2090.09,275.641,150.3346014
2198.2,272.436,148.5865944
2270.27,269.872,147.1881888
2324.32,267.949,146.1393846
2378.38,266.026,145.0905804
2432.43,264.744,144.3913776
2468.47,262.821,143.3425734
2486.49,262.179,142.9924266
2522.52,260.897,142.2932238
2594.59,258.333,140.8948182
2630.63,257.051,140.1956154
2684.68,255.769,139.4964126
2720.72,253.846,138.4476084
2756.76,252.564,137.7484056
2810.81,251.923,137.3988042
2846.85,250,136.35
2882.88,248.718,135.6507972
2918.92,247.436,134.9515944
2972.97,245.513,133.9027902
3009.01,244.872,133.5531888
3027.03,243.59,132.853986
3045.05,241.667,131.8051818
3081.08,239.103,130.4067762
3099.1,236.538,129.0078252
3135.14,233.333,127.2598182
3171.17,232.051,126.5606154
3207.21,229.487,125.1622098
3243.24,226.282,123.4142028
3279.28,223.077,121.6661958
3315.32,220.513,120.2677902
3351.35,218.59,119.218986
3387.39,215.385,117.470979
3423.42,211.538,115.3728252
3459.46,208.974,113.9744196
3495.5,206.41,112.576014
3531.53,203.846,111.1776084
3567.57,201.923,110.1288042
3585.59,199.359,108.7303986
3675.68,194.231,105.9335874
3693.69,191.026,104.1855804
3747.75,187.179,102.0874266
3801.8,183.974,100.3394196
3837.84,181.41,98.941014
3873.87,178.205,97.193007
3909.91,175.641,95.7946014
3945.95,172.436,94.0465944
3963.96,170.513,92.9977902
3981.98,169.231,92.2985874
4000,167.949,91.5993846
4054.05,166.026,90.5505804
4090.09,164.744,89.8513776
4126.13,162.821,88.8025734
4162.16,160.897,87.7532238
4216.22,158.333,86.3548182
4288.29,155.769,84.9564126
4342.34,153.846,83.9076084
4396.4,150.641,82.1596014
4450.45,148.077,80.7611958
4486.49,146.795,80.061993
4540.54,144.231,78.6635874
4576.58,141.667,77.2651818
4630.63,139.744,76.2163776
4666.67,139.103,75.8667762
4702.7,136.538,74.4678252
4756.76,133.974,73.0694196
4810.81,132.051,72.0206154
4846.85,130.128,70.9718112
4918.92,127.564,69.5734056
4954.95,125.641,68.5246014
4990.99,123.718,67.4757972
5045.05,122.436,66.7765944
5117.12,119.872,65.3781888
5171.17,118.59,64.678986
5243.24,115.385,62.930979
5333.33,113.462,61.8821748
5387.39,111.538,60.8328252
5459.46,109.615,59.784021
5513.51,107.692,58.7352168
5567.57,106.41,58.036014
5675.68,103.205,56.288007
5747.75,100.641,54.8896014
5801.8,98.7179,53.84074266
5855.86,97.4359,53.14153986
5891.89,96.1538,52.44228252
5909.91,94.8718,51.74307972
5981.98,93.5897,51.04382238
6054.05,91.6667,49.99501818
6126.13,90.3846,49.29576084
6162.16,89.1026,48.59655804
6234.23,87.8205,47.8973007
6306.31,86.5385,47.1980979
6414.41,83.9744,45.79963776
6486.49,82.6923,45.10038042
6540.54,80.7692,44.05152168
6612.61,79.4872,43.35231888
6684.68,78.2051,42.65306154
6720.72,76.9231,41.95385874
6792.79,75.641,41.2546014
6828.83,74.359,40.5553986
6882.88,73.0769,39.85614126
6936.94,71.7949,39.15693846
7009.01,70.5128,38.45768112
7081.08,69.8718,38.10807972
7171.17,67.9487,37.05922098
7261.26,66.6667,36.36001818
7351.35,65.3846,35.66076084
7477.48,63.4615,34.6119021
7531.53,62.8205,34.2623007
7639.64,60.2564,32.86384056
7765.77,58.9744,32.16463776
7819.82,57.6923,31.46538042
7909.91,55.7692,30.41652168
8018.02,55.1282,30.06692028
8072.07,54.4872,29.71731888
8180.18,52.5641,28.66846014
8288.29,51.2821,27.96925734
8378.38,50,27.27
8504.5,48.7179,26.57074266
8594.59,47.4359,25.87153986
8666.67,46.1538,25.17228252
8756.76,45.5128,24.82268112
8846.85,44.2308,24.12347832
8936.94,42.9487,23.42422098
9045.05,41.6667,22.72501818
9135.14,40.3846,22.02576084
9279.28,39.7436,21.67615944
9369.37,38.4615,20.9769021
9477.48,37.8205,20.6273007
9549.55,36.5385,19.9280979
9603.6,35.8974,19.57844196
9711.71,34.6154,18.87923916
9801.8,33.9744,18.52963776
9891.89,32.6923,17.83038042
9945.95,32.6923,17.83038042
9981.98,32.6923,17.83038042
